transcript_identifier,gene_id,gene_symbol,pathway_id,annotation_version
Cre02.g115650.t1.2,Cre02.g115650,FBA4,Creinhardtii PWY-1042,v5.5
Cre02.g115650.t1.2,Cre02.g115650,FBA4,Creinhardtii PWY-5464,v5.5
Cre02.g115650.t1.2,Cre02.g115650,FBA4,Creinhardtii PWY66-399,v5.5
Cre02.g115650.t1.2,Cre02.g115650,FBA4,Creinhardtii SUCSYN-PWY,v5.5
Cre02.g115750.t1.1,Cre02.g115750,,Creinhardtii PWY-7409,v5.5
Cre02.g116450.t1.2,Cre02.g116450,,Creinhardtii CALVIN-PWY,v5.5
Cre02.g116450.t1.2,Cre02.g116450,,Creinhardtii NONOXIPENT-PWY,v5.5
Cre02.g116450.t1.2,Cre02.g116450,,Creinhardtii PENTOSE-P-PWY,v5.5
Cre02.g116450.t1.2,Cre02.g116450,,Creinhardtii PWY-5723,v5.5
Cre02.g116550.t1.2,Cre02.g116550,DNJ24,Creinhardtii PWY66-389,v5.5
Cre02.g116750.t1.1,Cre02.g116750,,Creinhardtii PWY-7219,v5.5
Cre02.g116750.t1.1,Cre02.g116750,,Creinhardtii PWY-7219,v5.5
Cre02.g116750.t1.1,Cre02.g116750,,Creinhardtii PWY-7229,v5.5
Cre02.g116750.t1.1,Cre02.g116750,,Creinhardtii PWY-7229,v5.5
Cre02.g116750.t1.1,Cre02.g116750,,Creinhardtii PWY-841,v5.5
Cre02.g116750.t1.1,Cre02.g116750,,Creinhardtii PWY-841,v5.5
Cre02.g116750.t2.1,Cre02.g116750,,Creinhardtii PWY-7219,v5.5
Cre02.g116750.t2.1,Cre02.g116750,,Creinhardtii PWY-7219,v5.5
Cre02.g116750.t2.1,Cre02.g116750,,Creinhardtii PWY-7229,v5.5
Cre02.g116750.t2.1,Cre02.g116750,,Creinhardtii PWY-7229,v5.5
Cre02.g116750.t2.1,Cre02.g116750,,Creinhardtii PWY-841,v5.5
Cre02.g116750.t2.1,Cre02.g116750,,Creinhardtii PWY-841,v5.5
Cre02.g117350.t1.1,Cre02.g117350,MOT11,Creinhardtii PWY-6535,v5.5
Cre02.g117376.t1.1,Cre02.g117376,,Creinhardtii PWY-7409,v5.5
Cre02.g117500.t1.2,Cre02.g117500,,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre02.g117500.t1.2,Cre02.g117500,,Creinhardtii PWY-621,v5.5
Cre02.g117500.t1.2,Cre02.g117500,,Creinhardtii PWY-7238,v5.5
Cre02.g120100.t1.2,Cre02.g120100,RBCS1,Creinhardtii CALVIN-PWY,v5.5
Cre02.g120100.t1.2,Cre02.g120100,RBCS1,Creinhardtii PWY-5723,v5.5
Cre02.g120150.t1.2,Cre02.g120150,RBCS2,Creinhardtii CALVIN-PWY,v5.5
Cre02.g120150.t1.2,Cre02.g120150,RBCS2,Creinhardtii PWY-5723,v5.5
Cre02.g141200.t1.2,Cre02.g141200,,Creinhardtii PWY-5653,v5.5
Cre02.g141200.t1.2,Cre02.g141200,,Creinhardtii PYRIDNUCSYN-PWY,v5.5
Cre02.g141400.t1.2,Cre02.g141400,,Creinhardtii GLUCONEO-PWY,v5.5
Cre02.g141400.t1.2,Cre02.g141400,,Creinhardtii PWY-561,v5.5
Cre02.g141400.t1.2,Cre02.g141400,,Creinhardtii PWY66-399,v5.5
Cre02.g141400.t1.2,Cre02.g141400,,Creinhardtii PWY-7117,v5.5
Cre02.g142146.t1.1,Cre02.g142146,,Creinhardtii PWY-5064,v5.5
Cre02.g142146.t1.1,Cre02.g142146,,Creinhardtii PWY-5086,v5.5
Cre02.g142200.t1.2,Cre02.g142200,,Creinhardtii PWY-6842,v5.5
Cre02.g142351.t1.1,Cre02.g142351,,Creinhardtii PWY-5963,v5.5
Cre02.g142352.t1.1,Cre02.g142352,,Creinhardtii TRNA-CHARGING-PWY,v5.5
Cre02.g143200.t1.1,Cre02.g143200,,Creinhardtii TRNA-CHARGING-PWY,v5.5
Cre02.g143250.t1.2,Cre02.g143250,IDH2,Creinhardtii PWY-5464,v5.5
Cre02.g143250.t1.2,Cre02.g143250,IDH2,Creinhardtii PWY-5690,v5.5
Cre02.g143861.t1.2,Cre02.g143861,,Creinhardtii PWY-7409,v5.5
Cre02.g143900.t1.1,Cre02.g143900,,Creinhardtii PWY-7409,v5.5
Cre02.g144009.t1.1,Cre02.g144009,,Creinhardtii PWY-7409,v5.5
Cre02.g144010.t1.1,Cre02.g144010,,Creinhardtii PWY-7409,v5.5
Cre02.g144050.t1.2,Cre02.g144050,,Creinhardtii PWY-5980,v5.5
Cre02.g144050.t1.2,Cre02.g144050,,Creinhardtii PWY-5980,v5.5
Cre02.g144050.t2.1,Cre02.g144050,,Creinhardtii PWY-5980,v5.5
Cre02.g144050.t2.1,Cre02.g144050,,Creinhardtii PWY-5980,v5.5
Cre02.g144100.t1.2,Cre02.g144100,,Creinhardtii PWY-5980,v5.5
Cre02.g144800.t1.1,Cre02.g144800,LCI8,Creinhardtii ARGSYNBSUB-PWY,v5.5
Cre02.g144800.t1.1,Cre02.g144800,LCI8,Creinhardtii ARGSYN-PWY,v5.5
Cre02.g144800.t1.1,Cre02.g144800,LCI8,Creinhardtii GLUTORN-PWY,v5.5
Cre02.g145800.t1.2,Cre02.g145800,MDY3,Creinhardtii GLUCONEO-PWY,v5.5
Cre02.g145800.t1.2,Cre02.g145800,MDY3,Creinhardtii GLYOXYLATE-BYPASS,v5.5
Cre02.g145800.t1.2,Cre02.g145800,MDY3,Creinhardtii PWY-5464,v5.5
Cre02.g145800.t1.2,Cre02.g145800,MDY3,Creinhardtii PWY-561,v5.5
Cre02.g145800.t1.2,Cre02.g145800,MDY3,Creinhardtii PWY-5690,v5.5
Cre02.g145800.t1.2,Cre02.g145800,MDY3,Creinhardtii PWY66-399,v5.5
Cre02.g145800.t1.2,Cre02.g145800,MDY3,Creinhardtii PWY-7115,v5.5
Cre02.g146050.t1.2,Cre02.g146050,,Creinhardtii ILEUDEG-PWY,v5.5
Cre02.g147302.t1.1,Cre02.g147302,,Creinhardtii ASPARTATE-DEG1-PWY,v5.5
Cre02.g147302.t1.1,Cre02.g147302,,Creinhardtii ASPARTATESYN-PWY,v5.5
Cre02.g147302.t1.1,Cre02.g147302,,Creinhardtii PWY-3001,v5.5
Cre02.g147302.t1.1,Cre02.g147302,,Creinhardtii PWY-3461,v5.5
Cre02.g147302.t1.1,Cre02.g147302,,Creinhardtii PWY-3462,v5.5
Cre02.g147302.t1.1,Cre02.g147302,,Creinhardtii PWY-3481,v5.5
Cre02.g147302.t1.1,Cre02.g147302,,Creinhardtii PWY-7115,v5.5
Cre02.g147302.t1.1,Cre02.g147302,,Creinhardtii PWY-7115,v5.5
Cre02.g147302.t1.1,Cre02.g147302,,Creinhardtii PWY-7117,v5.5
Cre02.g147302.t1.1,Cre02.g147302,,Creinhardtii PWY-7117,v5.5
Cre02.g147302.t1.1,Cre02.g147302,,Creinhardtii THRESYN-PWY,v5.5
Cre02.g147650.t1.2,Cre02.g147650,,Creinhardtii MANNCAT-PWY,v5.5
Cre02.g147650.t1.2,Cre02.g147650,,Creinhardtii PWY-5659,v5.5
Cre02.g147650.t1.2,Cre02.g147650,,Creinhardtii PWY-882,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-1042,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-1042,v5.5
Cre02.g147900.t1.1,Cre02.g147900,PYK5,Creinhardtii PWY-1042,v5.5
