gene_id	gene_name	fold_difference	p_value	candidate_gene
Cre12.g526800.t1	GND1b	1.13	0.357	FALSE
Cre13.g595900.t1	HID2	0.94	0.387	FALSE
Cre01.g032650.t1	TAL1	0.67	5.32e-05	FALSE
Cre14.g630800.t1	TAL2	1.09	0.0207	FALSE
Cre06.g258700.t1	PYC1	0.96	0.83	FALSE
Cre07.g337650.t1	PDC1	1.03	0.798	FALSE
Cre02.g099850.t1	PDC2	1.1	0.306	FALSE
Cre01.g063700.t1	PDH1	1.15	0.106	FALSE
Cre29.g778200.t1	DLA1	1.09	0.192	FALSE
Cre03.g158900.t1	DLA2	1.16	0.0116	FALSE
Cre07.g343700.t1	OGD2	1.03	0.796	FALSE
Cre01.g016504.t1	Cre01.g016504	0.99	0.959	FALSE
Cre31.g780600.t1	DLD1	1.04	0.552	FALSE
Cre12.g514750.t1	CIS1	1.16	0.0051	FALSE
Cre01.g042750.t1	ACH1	0.83	2.5e-07	FALSE
Cre04.g214500.t1	IDH3	0.9	0.00923	FALSE
Cre12.g537200.t1	OGD1	0.72	0.0187	FALSE
Cre17.g703700.t1	SCL2	0.96	0.786	FALSE
Cre03.g193850.t1	SCLA1	0.75	0.137	FALSE
Cre14.g619150.t1	Cre14.g619150	0.77	0.000188	FALSE
Cre14.g624250.t1	SDH1	0.57	0.00138	FALSE
Cre06.g264200.t1	SDH2	0.98	0.764	FALSE
Cre06.g254400.t1	FUM1	0.93	0.625	FALSE
Cre17.g728800.t1	IDH1	1.06	0.411	FALSE
Cre02.g143250.t1	IDH2	0.86	0.118	FALSE
Cre02.g145800.t1	MDH3	1.92	5.05e-09	FALSE
Cre09.g410700.t1	MDH5	1.26	0.000232	FALSE
Cre06.g251400.t1	MME6	0.57	0.432	FALSE
Cre05.g241850.t1	ACL1	0.96	0.853	FALSE
Cre02.g088600.t1	ACL2	1.27	1.06e-05	FALSE
Cre05.g248400.t1	CAH4	0.65	0.0666	FALSE
Cre05.g248450.t1	CAH5	0.7	0.092	FALSE
Cre05.g240800.t1	NUO17	0.85	0.023	FALSE
Cre18.g745500.t1	NUOB22	0.95	0.28	FALSE
Cre13.g571150.t1	NUOP1	0.69	0.000599	FALSE
Cre12.g516450.t1	CAG1	0.78	0.182	FALSE
Cre06.g293850.t1	CAG2	0.92	0.489	FALSE
Cre09.g415850.t1	CAG3	0.98	0.905	FALSE
Cre14.g617800.t1	Cre14.g617800	0.61	0.248	FALSE
Cre12.g492300.t1	NUO10	1.09	0.829	FALSE
Cre22.g763400.t1	NUO13	0.93	0.827	FALSE
Cre10.g450400.t1	NUO5	0.96	0.791	FALSE
Cre10.g422600.t1	NUO6	1.01	0.956	FALSE
Cre09.g405850.t1	NUO7	0.61	0.278	FALSE
Cre12.g496750.t1	NUO8	1.31	0.102	FALSE
Cre07.g327400.t1	NUO9	1.02	0.798	FALSE
Cre10.g434450.t1	NUOA9	1.05	0.516	FALSE
Cre16.g679500.t1	NUOB8	0.74	0.0972	FALSE
Cre02.g100200.t1	NUOP3	1.02	0.66	FALSE
Cre08.g378050.t1	NUOP5	0.9	0.242	FALSE
Cre12.g535950.t1	NUOS1	0.81	0.274	FALSE
Cre01.g061100.t1	NUOS4	0.81	0.00397	FALSE
Cre03.g178250.t1	NUOS6	0.75	3.59e-06	FALSE
Cre05.g232200.t1	NDA3	1.69	0.00719	FALSE
Cre02.g094300.t1	FUO1	1.72	0.469	FALSE
Cre15.g638500.t1	CYC1	0.74	9.88e-08	FALSE
Cre12.g523850.t1	QCR1	1.04	0.577	FALSE
Cre06.g262700.t1	QCR7	0.83	0.000665	FALSE
Cre03.g156950.t1	QCR8	0.71	0.000545	FALSE
Cre11.g468950.t1	QCR9	0.74	3.19e-07	FALSE
Cre01.g051900.t1	RIP1	0.92	0.0123	FALSE
Cre12.g522600.t1	CYC	0.81	0.0397	FALSE
Cre12.g537450.t1	COX13	0.75	0.311	FALSE
Cre19.g757300.t1	COX23	1.02	0.934	FALSE
Cre01.g049500.t1	COX2B	1.02	0.626	FALSE
Cre03.g157700.t1	COX5C	0.99	0.904	FALSE
Cre13.g567600.t1	COX5b	0.99	0.854	FALSE
Cre06.g304350.t1	COX6B	0.84	0.00178	FALSE
Cre16.g691850.t1	COX90	0.93	0.0563	FALSE
Cre07.g340350.t1	ASA1	0.9	0.551	FALSE
Cre09.g415550.t1	ASA2	1.12	0.405	FALSE
Cre07.g338050.t1	ASA3	0.84	0.0593	FALSE
Cre13.g581600.t1	ASA4	0.81	0.0038	FALSE
Cre17.g721300.t1	ASA5	1.07	0.0821	FALSE
Cre09.g416150.t1	ASA7	0.97	0.679	FALSE
Cre09.g402300.t1	ASA8	0.85	0.15	FALSE
Cre09.g395350.t1	ASA9	1.14	0.284	FALSE
Cre10.g420700.t1	ATP15	1.26	0.222	FALSE
