gene_id	gene_name	candidate_gene	fold_difference
Cre01.g026050	Cre01.g026050	TRUE	3.560933
g14724	g14724	TRUE	3.554778
g11635	g11635	TRUE	3.553278
Cre03.g186050	Cre03.g186050	TRUE	3.548104
Cre12.g510250	VTC1	TRUE	3.541694
g15413	g15413	TRUE	3.525031
Cre04.g228900	Cre04.g228900	TRUE	3.513652
Cre17.g721000	Cre17.g721000	TRUE	3.504633
Cre12.g506600	Cre12.g506600	TRUE	3.492878
g9669	CGL66	TRUE	3.490467
Cre08.g362700	Cre08.g362700	TRUE	3.485983
Cre12.g560668	Cre12.g560668	TRUE	3.48497
g18026	g18026	TRUE	3.481364
Cre04.g217900	Cre04.g217900	TRUE	3.479675
Cre04.g214600	Cre04.g214600	TRUE	3.47606
Cre12.g496400	Cre12.g496400	TRUE	3.463674
Cre02.g081050	FAP24	TRUE	3.455396
Cre07.g344400	Cre07.g344400	TRUE	3.454362
Cre14.g619250	Cre14.g619250	TRUE	3.452432
Cre14.g617750	PDE3	TRUE	3.444221
Cre13.g563400	Cre13.g563400	TRUE	3.436739
Cre16.g650600	MST1	TRUE	3.399799
Cre03.g169000	Cre03.g169000	TRUE	3.396287
Cre16.g685600	Cre16.g685600	TRUE	3.396287
g10041	g10041	TRUE	3.377974
g13210	g13210	TRUE	3.377974
g9870	g9870	TRUE	3.377974
g6282	g6282	TRUE	3.377759
g6313	FAS7	TRUE	3.375662
Cre13.g569350	Cre13.g569350	TRUE	3.374251
Cre09.g410050	Cre09.g410050	TRUE	3.373976
Cre09.g413150	Cre09.g413150	TRUE	3.373563
g14575	g14575	TRUE	3.372531
Cre10.g426450	Cre10.g426450	TRUE	3.363049
Cre01.g011650	Cre01.g011650	TRUE	3.351107
g10166	g10166	TRUE	3.351107
Cre12.g515350	Cre12.g515350	TRUE	3.346229
g4457	g4457	TRUE	3.346136
Cre02.g093800	Cre02.g093800,NRX3	TRUE	3.343818
Cre08.g367550	FAP291	TRUE	3.327619
g10027	g10027	TRUE	3.316988
Cre06.g267800	Cre06.g267800	TRUE	3.31648
g9841	g9841	TRUE	3.311914
Cre16.g665050	CAV2	TRUE	3.308304
Cre13.g575400	Cre13.g575400	TRUE	3.298953
Cre13.g580100	Cre13.g580100	TRUE	3.298797
Cre10.g463400	Cre10.g463400	TRUE	3.274584
Cre10.g463550	Cre10.g463550	TRUE	3.274584
Cre01.g011300	Cre01.g011300	TRUE	3.273187
g4462	g4462	TRUE	3.272638
Cre10.g466050	Cre10.g466050	TRUE	3.266323
g3646	g3646	TRUE	3.256191
Cre12.g538050	Cre12.g538050	TRUE	3.253205
Cre02.g145200	Cre02.g145200	TRUE	3.235118
Cre16.g695650	Cre16.g695650	TRUE	3.235118
Cre16.g648700	Cre16.g648700	TRUE	3.227714
g10511	g10511	TRUE	3.225484
Cre02.g114900	ANK23	TRUE	3.225375
g9835	UPM1	TRUE	3.211939
g5329	HAV2	TRUE	3.210803
Cre09.g409336	Cre09.g409336	TRUE	3.209728
Cre17.g719500	Cre17.g719500	TRUE	3.202848
g9327	g9327	TRUE	3.201168
Cre06.g261500	Cre06.g261500	TRUE	3.19665
Cre10.g460150	ERM9	TRUE	3.19665
g11655	g11655	TRUE	3.189064
g1861	g1861	TRUE	3.183669
Cre16.g663800	Cre16.g663800	TRUE	3.173434
Cre07.g351825	Cre07.g351825	TRUE	3.166578
g1786	g1786	TRUE	3.156587
Cre08.g367100	Cre08.g367100	TRUE	3.150976
g18221	g18221	TRUE	3.150976
Cre07.g336950	SP1	TRUE	3.145384
Cre12.g549000	PHC4	TRUE	3.142008
Cre03.g200000	Cre03.g200000	TRUE	3.138368
Cre07.g326500	Cre07.g326500	TRUE	3.13343
g3008	FAP17	TRUE	3.132305
g11692	g11692	TRUE	3.129417
Cre17.g700700	Cre17.g700700	TRUE	3.127418
g10774	g10774	TRUE	3.121771
g6337	FAP236	TRUE	3.115007
Cre17.g729350	Cre17.g729350	TRUE	3.114568
Cre14.g630450	Cre14.g630450	TRUE	3.113209
Cre16.g693600	Cre16.g693600,ISG-C4	TRUE	3.109521
Cre02.g095550	Cre02.g095550	TRUE	3.108099
g6246	g6246	TRUE	3.100995
Cre06.g258800	Cre06.g258800	TRUE	3.083674
Cre03.g159100	Cre03.g159100	TRUE	3.080228
Cre12.g529850	Cre12.g529850	TRUE	3.076645
Cre02.g095300	Cre02.g095300	TRUE	3.07591
Cre13.g580950	Cre13.g580950	TRUE	3.070511
Cre13.g567400	PDE16	TRUE	3.067803
Cre16.g688550	GST1	TRUE	3.059861
Cre06.g251500	SPS1	TRUE	3.050898
Cre06.g271700	Cre06.g271700	TRUE	3.029829
Cre02.g147250	Cre02.g147250	TRUE	3.028474
Cre06.g275250	Cre06.g275250	TRUE	3.021568
g18117	FMG1-A	TRUE	3.014819
Cre02.g085800	Cre02.g085800	TRUE	3.014574
Cre06.g287750	Cre06.g287750	TRUE	3.009408
Cre13.g588000	Cre13.g588000	TRUE	3.009408
Cre16.g685100	Cre16.g685100	TRUE	3.009408
Cre16.g659700	Cre16.g659700	TRUE	3.006847
Cre12.g552700	Cre12.g552700	TRUE	3.004763
Cre02.g147750	FAP209	TRUE	2.998713
Cre01.g029050	Cre01.g029050	TRUE	2.993626
Cre05.g239650	Cre05.g239650	TRUE	2.992125
g16126	g16126	TRUE	2.992125
Cre06.g285950	Cre06.g285950	TRUE	2.984435
Cre17.g714450	Cre17.g714450	TRUE	2.984435
g8345	FAP157	TRUE	2.982392
Cre03.g184400	Cre03.g184400	TRUE	2.972817
Cre09.g389150	FAP93	TRUE	2.971637
Cre10.g429000	Cre10.g429000	TRUE	2.971087
g8064	g8064	TRUE	2.967092
Cre09.g390150	Cre09.g390150	TRUE	2.965045
g2954	HSP22C	TRUE	2.964413
g1261	g1261	TRUE	2.953885
Cre03.g170450	Cre03.g170450	TRUE	2.936099
Cre12.g513200	PGH1	TRUE	2.926625
Cre08.g381850	Cre08.g381850	TRUE	2.92127
Cre11.g480950	Cre11.g480950	TRUE	2.92127
Cre02.g111650	CGL8	TRUE	2.920281
Cre02.g096000	Cre02.g096000	TRUE	2.919274
g2893	g2893	TRUE	2.919274
Cre03.g175600	Cre03.g175600	TRUE	2.9127
Cre13.g582850	Cre13.g582850	TRUE	2.912681
Cre06.g308500	CMP2	TRUE	2.909364
Cre01.g019950	DNJ7	TRUE	2.898359
Cre17.g710050	Cre17.g710050	TRUE	2.895061
Cre01.g013500	Cre01.g013500	TRUE	2.894273
Cre06.g293100	Cre06.g293100	TRUE	2.884834
Cre10.g442050	Cre10.g442050	TRUE	2.884073
Cre06.g293150	Cre06.g293150	TRUE	2.883031
Cre02.g099055	Cre02.g099055	TRUE	2.881397
Cre08.g367150	Cre08.g367150	TRUE	2.881397
g11554	g11554	TRUE	2.880449
g4512	g4512	TRUE	2.879816
g6215	g6215	TRUE	2.879181
g2920	ODA11	TRUE	2.877498
Cre07.g321400	FAP113	TRUE	2.8761
g2738	g2738	TRUE	2.875233
g8540	g8540	TRUE	2.875233
Cre10.g456950	Cre10.g456950	TRUE	2.869723
g8224	g8224	TRUE	2.869723
Cre13.g585550	Cre13.g585550	TRUE	2.861023
Cre16.g648300	Cre16.g648300	TRUE	2.861023
g16156	g16156	TRUE	2.861023
Cre07.g356600	Cre07.g356600	TRUE	2.857399
Cre12.g484900	FAP83	TRUE	2.857008
g4561	g4561	TRUE	2.854073
Cre09.g396700	ACK1	TRUE	2.848172
Cre12.g486200	Cre12.g486200	TRUE	2.844017
Cre06.g259500	CYG2	TRUE	2.835896
Cre04.g218750	Cre04.g218750,THB4	TRUE	2.834342
Cre08.g379800	Cre08.g379800	TRUE	2.833274
Cre02.g099750	Cre02.g099750	TRUE	2.832816
Cre17.g741300	Cre17.g741300	TRUE	2.829449
g9673	LIP1	TRUE	2.822314
g16806	g16806	TRUE	2.81765
Cre09.g403800	ODA4	TRUE	2.817042
Cre04.g228850	Cre04.g228850	TRUE	2.815869
Cre16.g681450	ANK6	TRUE	2.815869
Cre12.g522100	Cre12.g522100	TRUE	2.810923
g7022	g7022	TRUE	2.808125
Cre17.g732150	FAP130	TRUE	2.806662
Cre10.g424700	Cre10.g424700	TRUE	2.804145
Cre12.g543500	Cre12.g543500	TRUE	2.801355
Cre16.g656400	SQD1	TRUE	2.799952
Cre05.g240000	PAP1	TRUE	2.798034
Cre13.g606950	Cre13.g606950	TRUE	2.795554
Cre16.g653150	Cre16.g653150	TRUE	2.795554
Cre09.g405500	Cre09.g405500	TRUE	2.793469
Cre12.g506550	Cre12.g506550	TRUE	2.792076
Cre06.g309950	Cre06.g309950	TRUE	2.785428
g16160	g16160	TRUE	2.766629
g8522	g8522	TRUE	2.764891
g11469	GOX6	TRUE	2.757633
Cre03.g157050	Cre03.g157050	TRUE	2.757117
Cre16.g658950	Cre16.g658950	TRUE	2.753849
Cre14.g631400	Cre14.g631400	TRUE	2.749877
g9799	g9799	TRUE	2.749877
Cre02.g115150	Cre02.g115150	TRUE	2.745701
g9599	FAP139	TRUE	2.744433
g18143	g18143	TRUE	2.740158
Cre04.g224800	Cre04.g224800	TRUE	2.735619
Cre16.g686600	Cre16.g686600	TRUE	2.731789
g17767	MRP2	TRUE	2.731505
Cre04.g218200	Cre04.g218200	TRUE	2.731257
Cre13.g589400	PRL6	TRUE	2.729239
Cre17.g741750	Cre17.g741750	TRUE	2.729239
Cre17.g707137	Cre17.g707137	TRUE	2.727524
Cre06.g267350	Cre06.g267350	TRUE	2.726207
Cre16.g652250	Cre16.g652250	TRUE	2.726207
g9800	g9800	TRUE	2.726207
g2882	g2882	TRUE	2.725706
Cre06.g292900	Cre06.g292900	TRUE	2.724934
g6768	g6768	TRUE	2.72115
Cre14.g627650	Cre14.g627650	TRUE	2.721148
Cre09.g410500	Cre09.g410500	TRUE	2.714422
g9605	g9605	TRUE	2.71373
Cre12.g556250	SEP1	TRUE	2.713334
g2849	g2849	TRUE	2.710439
Cre02.g079700	PYR2	TRUE	2.70758
Cre13.g588150	Cre13.g588150	TRUE	2.704851
Cre08.g360250	DUR4	TRUE	2.702616
Cre14.g618400	Cre14.g618400	TRUE	2.695616
Cre10.g424350	Cre10.g424350	TRUE	2.695608
Cre02.g087750	Cre02.g087750	TRUE	2.693513
Cre07.g349750	Cre07.g349750	TRUE	2.693513
Cre08.g359600	Cre08.g359600	TRUE	2.693513
g11486	g11486	TRUE	2.69084
g14346	g14346	TRUE	2.686851
Cre12.g533100	Cre12.g533100	TRUE	2.683611
Cre10.g421950	Cre10.g421950,TEF26	TRUE	2.681612
Cre01.g039950	Cre01.g039950	TRUE	2.680109
