transcript_id,num_detected,num_sampled,proportion,source,annotation_version,gene_id,gene_symbol,pathway_id,transcript_id_v5.3.1
Cre01.g003250.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003250,,,Cre01.g003250.t1.3
Cre01.g003300.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003300,,,Cre01.g003300.t1.2
Cre01.g003376.t1.1,2,2,0.25,"['Bajhaiya_2016', 'Gargouri_2015']",v5.5,Cre01.g003376,,,g78.t1
Cre01.g003450.t2.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003450,,,Cre01.g003450.t1.3
Cre01.g003463.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g003463,,,g80.t1
Cre01.g003475.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003475,,,g81.t1
Cre01.g003487.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003487,,,g82.t1
Cre01.g003500.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003500,MSH2,,g83.t1
Cre01.g003508.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g003508,,,Cre01.g003519.t1.2
Cre01.g003516.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g003516,,,g85.t1
Cre01.g003524.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003524,,,g86.t1
Cre01.g003532.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003532,,,g87.t1
Cre01.g003541.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g003541,,,g88.t1
Cre01.g003550.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g003550,,,Cre01.g003550.t1.3
Cre01.g003600.t1.2,1,2,0.125,"['Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g003600,,,Cre01.g003600.t1.2
Cre01.g003650.t2.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003650,,,Cre01.g003650.t1.3
Cre01.g003700.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g003700,,,Cre01.g003700.t1.2
Cre01.g003751.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g003751,,,Cre01.g003750.t1.3
Cre01.g003800.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g003800,,,Cre01.g003800.t1.3
Cre01.g003826.t1.1,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g003826,,,g96.t1
Cre01.g003850.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g003850,CYP747A1,,Cre01.g003850.t1.3
Cre01.g003950.t1.1,3,3,0.375,"['Hemme_2014', 'Bajhaiya_2016', 'Blaby_2013']",v5.5,Cre01.g003950,,,g99.t1
Cre01.g004000.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g004000,,,Cre01.g004000.t1.2
Cre01.g004050.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g004050,,,Cre01.g004050.t1.2
Cre01.g004124.t1.1,0,2,0.0,"['Bajhaiya_2016', 'Kwak_2017']",v5.5,Cre01.g004124,,,Cre01.g004124.t1.3
Cre01.g004124.t2.1,0,1,0.0,['Kwak_2017'],v5.5,Cre01.g004124,,,Cre01.g004124.t2.1
Cre01.g004157.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g004157,,,Cre01.g004157.t1.2
Cre01.g004200.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g004200,,,Cre01.g004200.t1.2
Cre01.g004250.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g004250,DLT3,,Cre01.g004250.t1.2
Cre01.g004300.t1.2,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g004300,ASN1,"['Creinhardtii ASPARAGINE-BIOSYNTHESIS', 'Creinhardtii ASPARAGINESYN-PWY', 'Creinhardtii GLUTAMINDEG-PWY', 'Creinhardtii PWY0-1325']",Cre01.g004300.t1.2
Cre01.g004350.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g004350,,,Cre01.g004350.t1.2
